events,repetition,source_events,full_source_passes,final_prefix_events,runtime_seconds,throughput_eps,p50_ns,p95_ns,p99_ns,max_sampled_ns,peak_working_set_mb,final_resting_orders,rejected_events,invariants_ok
100000,1,380678,0,100000,0.047697100,2096563.523,500,800,900,13400,35.262,2524,0,1
100000,2,380678,0,100000,0.045481900,2198676.836,400,700,1000,5000,35.312,2524,0,1
100000,3,380678,0,100000,0.043850000,2280501.710,400,700,900,5400,35.312,2524,0,1
100000,4,380678,0,100000,0.046288700,2160354.471,400,800,1000,4700,35.312,2524,0,1
100000,5,380678,0,100000,0.047362400,2111379.491,500,800,1101,3700,35.324,2524,0,1
500000,1,380678,1,119322,0.223055200,2241597.596,400,700,900,16600,36.098,3085,0,1
500000,2,380678,1,119322,0.220333400,2269288.270,400,700,900,15800,36.121,3085,0,1
500000,3,380678,1,119322,0.226881700,2203791.668,400,700,1000,17000,36.184,3085,0,1
500000,4,380678,1,119322,0.222526600,2246922.390,400,700,900,53100,36.137,3085,0,1
500000,5,380678,1,119322,0.220927600,2263184.862,400,700,900,63400,36.180,3085,0,1
1000000,1,380678,2,238644,0.450380800,2220343.318,400,700,900,34600,36.320,6391,0,1
1000000,2,380678,2,238644,0.443374500,2255429.665,400,700,900,41400,36.273,6391,0,1
1000000,3,380678,2,238644,0.449088200,2226734.080,400,700,900,16000,36.297,6391,0,1
1000000,4,380678,2,238644,0.449741500,2223499.499,400,700,900,14700,36.289,6391,0,1
1000000,5,380678,2,238644,0.446828000,2237997.619,400,700,900,60900,36.371,6391,0,1
5000000,1,380678,13,51186,2.225942300,2246239.716,400,700,900,41000,36.793,899,0,1
5000000,2,380678,13,51186,2.242317000,2229836.370,400,700,900,38500,36.867,899,0,1
5000000,3,380678,13,51186,2.232154300,2239988.517,400,700,900,39600,36.871,899,0,1
5000000,4,380678,13,51186,2.251129600,2221107.128,400,700,900,31500,36.840,899,0,1
5000000,5,380678,13,51186,2.267826100,2204754.589,400,700,900,279900,36.875,899,0,1
10000000,1,380678,26,102372,4.543993500,2200707.373,400,700,1000,49100,37.113,2610,0,1
10000000,2,380678,26,102372,4.581130500,2182867.308,500,700,1000,216300,37.262,2610,0,1
10000000,3,380678,26,102372,4.601421900,2173241.276,500,700,1000,56600,37.258,2610,0,1
10000000,4,380678,26,102372,4.611053200,2168701.936,500,700,900,115000,37.211,2610,0,1
10000000,5,380678,26,102372,4.660621100,2145636.769,500,700,1000,70300,37.215,2610,0,1
