events,repetition,runtime_seconds,throughput_eps,datagrams_submitted,packets_deliberately_omitted,gaps_detected,events_recovered,recovery_misses,recovery_p50_ns,recovery_p95_ns,recovery_p99_ns,recovery_max_ns,application_rejections,decode_failures,sequencer_failures,final_feed_healthy,invariants_ok
100000,1,0.739522400,135222.408,99997,3,3,3,0,46600,58390,59438,59700,0,0,0,1,1
100000,2,0.830619900,120392.011,99997,3,3,3,0,36500,71510,74622,75400,0,0,0,1,1
100000,3,0.844367000,118431.914,99997,3,3,3,0,30900,31440,31488,31500,0,0,0,1,1
100000,4,0.827740200,120810.853,99997,3,3,3,0,33900,35160,35272,35300,0,0,0,1,1
100000,5,0.854114300,117080.349,99997,3,3,3,0,36100,42940,43548,43700,0,0,0,1,1
500000,1,3.851408500,129822.635,499981,19,19,19,0,29400,41530,46066,47200,0,0,0,1,1
500000,2,2.931298000,170572.900,499981,19,19,19,0,22600,44890,54898,57400,0,0,0,1,1
500000,3,3.524636500,141858.600,499981,19,19,19,0,27900,36350,36710,36800,0,0,0,1,1
500000,4,3.783174600,132164.135,499981,19,19,19,0,28800,45970,48634,49300,0,0,0,1,1
500000,5,3.962511700,126182.593,499981,19,19,19,0,33200,46010,53282,55100,0,0,0,1,1
1000000,1,6.232453100,160450.465,999961,39,39,39,0,25600,40640,43606,44100,0,0,0,1,1
1000000,2,7.107100000,140704.366,999961,39,39,39,0,27100,47800,69008,79800,0,0,0,1,1
1000000,3,6.603788500,151428.229,999961,39,39,39,0,26300,45770,47578,48300,0,0,0,1,1
1000000,4,7.752389500,128992.487,999961,39,39,39,0,29100,52120,99302,124800,0,0,0,1,1
1000000,5,9.004590500,111054.467,999961,39,39,39,0,31100,47000,59900,65600,0,0,0,1,1
5000000,1,43.911455300,113865.504,4999803,197,197,197,0,30800,54240,92584,468800,0,0,0,1,1
5000000,2,44.574759600,112171.104,4999803,197,197,197,0,29500,54080,78780,393500,0,0,0,1,1
5000000,3,44.827448700,111538.804,4999803,197,197,197,0,29700,50740,76376,126100,0,0,0,1,1
5000000,4,44.439421200,112512.717,4999803,197,197,197,0,29300,51220,67724,456500,0,0,0,1,1
5000000,5,44.376728200,112671.668,4999803,197,197,197,0,30200,52960,64044,208300,0,0,0,1,1
10000000,1,85.927394200,116377.322,9999606,394,394,394,0,29850,48675,73200,117600,0,0,0,1,1
10000000,2,92.408600200,108215.036,9999606,394,394,394,0,33000,52555,71868,130400,0,0,0,1,1
10000000,3,93.104016700,107406.752,9999606,394,394,394,0,31200,49150,62384,366000,0,0,0,1,1
10000000,4,89.269677400,112020.120,9999606,394,394,394,0,30450,52505,67243,652100,0,0,0,1,1
10000000,5,84.869232300,117828.331,9999606,394,394,394,0,29850,44135,52871,959300,0,0,0,1,1
